Title,Genre,Premiere,Seasons,Length,Status
BoJack Horseman,Animated sitcom,"August 22, 2014","3 seasons, 36 episodes",25–26 min.,Renewed[22]
Unbreakable Kimmy Schmidt,Comedy,"March 6, 2015","2 seasons, 26 episodes",23–36 min.,Renewed[23]
Grace and Frankie,Comedy-drama,"May 8, 2015","2 seasons, 26 episodes",25–35 min.,Renewed[24]
Wet Hot American Summer: First Day of Camp,Satirical comedy,"July 31, 2015","1 season, 8 episodes",27–30 min.,Renewed as Wet Hot American Summer: Ten Years Later[25]
Master of None,Comedy-drama,"November 6, 2015","1 season, 10 episodes",26–33 min.,Renewed[26]
W/ Bob & David,Sketch comedy,"November 13, 2015","1 season, 5 episodes",27–33 min.,Indefinite hiatus[27]
F Is for Family,Animated sitcom,"December 18, 2015","1 season, 6 episodes",25–28 min.,Renewed[28]
Love,Romantic comedy,"February 19, 2016","1 season, 10 episodes",27–40 min.,Renewed[29]
Fuller House,Sitcom,"February 26, 2016","2 seasons, 26 episodes",25–36 min.,Renewed[30]
Flaked,Comedy,"March 11, 2016","1 season, 8 episodes",30–34 min.,Renewed[31]
Netflix Presents: The Characters,Sketch comedy,"March 11, 2016","1 season, 8 episodes",27–38 min.,Pending
The Ranch,Sitcom,"April 1, 2016","1 season, 20 episodes",28–34 min.,Renewed[32]
Lady Dynamite,Comedy,"May 20, 2016","1 season, 12 episodes",26–35 min.,Renewed[33]
Easy,Romantic comedy anthology series,"September 22, 2016","1 season, 8 episodes",26–30 min.,Pending
Haters Back Off,Comedy,"October 14, 2016","1 season, 8 episodes",29–36 min.,Renewed[34]
Trailer Park Boys Out of the Park: Europe,Mockumentary,"October 28, 2016","1 season, 8 episodes",22–30 min.,Pending
One Day at a Time,Sitcom,"January 6, 2017","1 season, 13 episodes",26–31 min.,Pending
Upcoming
Santa Clarita Diet[35],Comedy-horror,"February 3, 2017[36]","1 season, 13 episodes",,N/A
